area,source_file,key,plural_category,plural_category_required_for_locales,english_source,context,placeholders_keep_exact,glossary_terms_to_review,current_de,current_es,current_fr,current_ja,current_ko,current_pl,current_pt-br,current_pt-pt,current_ru,current_zh-cn,current_zh-tw
manifest,package.nls.json,command.newBranchFrom,,,New Branch from...,VS Code command palette/menu command label.,,Branch,Neuer Branch von...,Nueva rama desde...,Nouvelle branche depuis...,新しいブランチを作成...,새 브랜치 만들기...,Nowy branch z...,Novo branch a partir de...,Novo branch a partir de...,Новая ветка из...,从...新建分支...,從...新建分支...
manifest,package.nls.json,command.checkoutAndRebaseOntoCurrent,,,Checkout and Rebase onto Current,VS Code command palette/menu command label.,,Rebase; Checkout,Checkout und Rebase auf aktuellen Branch,Checkout y rebase sobre actual,Checkout et rebase sur la branche actuelle,チェックアウトして現在のブランチにリベース,체크아웃 후 현재 브랜치에 리베이스,Checkout i rebase na bieżący branch,Checkout e rebase sobre o branch atual,Checkout e rebase sobre o branch atual,Извлечь и перебазировать на текущую ветку,检出并变基到当前分支,簽出並變基到目前分支
manifest,package.nls.json,command.rebaseCurrentOntoSelected,,,Rebase Current onto Selected,VS Code command palette/menu command label.,,Rebase,Aktuellen Branch auf ausgewählten rebasen,Rebase actual sobre seleccionado,Rebaser la branche actuelle sur la sélection,現在のブランチを選択したブランチにリベース,선택한 브랜치에 현재 브랜치 리베이스,Zmień bazę bieżącą na wybraną,Reajustar corrente para selecionado,Reajustar corrente para selecionado,Перебазировать текущую ветку на выбранную,将当前分支变基到选定分支,將目前分支變基到選定分支
manifest,package.nls.json,command.mergeIntoCurrent,,,Merge into Current,VS Code command palette/menu command label.,,Merge,In aktuellen Branch mergen,Fusionarse con la actual,Fusionner dans la branche actuelle,現在のブランチにマージ,현재 상태로 병합,Połącz z bieżącym,Mesclar com o atual,Mesclar com o atual,Объединить с текущей,合并到当前分支,合併到目前分支
manifest,package.nls.json,command.update,,,Update,VS Code command palette/menu command label.,,,Aktualisieren,Actualizar,Mise à jour,アップデート,업데이트,Aktualizacja,Atualizar,Atualizar,Обновить,更新,更新
manifest,package.nls.json,command.sync,,,Sync,VS Code command palette/menu command label.,,Git,Synchronisieren,Sincronizar,Synchroniser,同期,동기화,Synchronizuj,Sincronizar,Sincronizar,Синхронизировать,同步,同步
manifest,package.nls.json,command.fetch,,,Fetch,VS Code command palette/menu command label.,,Git,Abrufen,Obtener,Récupérer,フェッチ,가져오기,Pobierz,Buscar,Obter,Получить,获取,擷取
manifest,package.nls.json,command.pull,,,Pull,VS Code command palette/menu command label.,,Git,Pull,Pull,Pull,プル,풀,Pull,Puxar,Puxar,Pull,拉取,拉取
manifest,package.nls.json,command.push,,,Push,VS Code command palette/menu command label.,,Push,Push,Push,Push,プッシュ,푸시,Push,Push,Push,Отправить,推送,推送
manifest,package.nls.json,command.rename,,,Rename...,VS Code command palette/menu command label.,,,Umbenennen...,Rebautizar...,Rebaptiser...,名前を変更する...,이름을 바꾸다...,Przemianować...,Renomear...,Renomear...,Переименовать...,重命名...,重命名...
manifest,package.nls.json,command.delete,,,Delete,VS Code command palette/menu command label.,,,Löschen,Borrar,Supprimer,消去,삭제,Usuwać,Excluir,Excluir,Удалить,删除,刪除
manifest,package.nls.json,command.rollback,,,Rollback,VS Code command palette/menu command label.,,,Rückgängigmachen,Revertir,Annulation,ロールバック,롤백,Cofnij,Reverter,Reverter,Откатить,回滚,復原
manifest,package.nls.json,command.jumpToSource,,,Jump to Source,VS Code command palette/menu command label.,,,Zum Quelltext springen,Ir a la fuente,Aller à la source,ソースへジャンプ,소스로 이동,Przejdź do źródła,Ir para a fonte,Ir para a fonte,Перейти к источнику,跳转至源文件,跳轉至原始檔案
manifest,package.nls.json,command.compareWithRevision,,,Compare with Revision,VS Code command palette/menu command label.,,,Mit Revision vergleichen,Comparar con la revisión,Comparer avec la révision,リビジョンと比較,리비전과 비교,Porównaj z wersją,Comparar com a revisão,Comparar com a revisão,Сравнить с ревизией,与修订版比较,與修訂版比較
manifest,package.nls.json,command.compareWithBranch,,,Compare with Branch or Tag,VS Code command palette/menu command label.,,Branch,Mit Branch oder Tag vergleichen,Comparar con rama o etiqueta,Comparer avec une branche ou une étiquette,ブランチまたはタグと比較,브랜치 또는 태그와 비교,Porównaj z gałęzią lub tagiem,Comparar com branch ou tag,Comparar com branch ou tag,Сравнить с веткой или тегом,与分支或标签比较,與分支或標籤比較
manifest,package.nls.json,command.compareWithLocal,,,Compare with Local,VS Code command palette/menu command label.,,,Mit lokaler Version vergleichen,Comparar con lo local,Comparer avec le local,ローカルと比較,로컬 데이터와 비교,Porównaj z lokalnym,Comparar com o local,Comparar com o local,Сравнить с локальной версией,与本地版本比较,與本地版本比較
manifest,package.nls.json,command.cherryPickSelectedChange,,,Cherry-pick Selected Change,VS Code command palette/menu command label.,,Cherry-pick,Ausgewählte Änderung cherry-picken,Cherry-pick del cambio seleccionado,Cherry-pick de la modification sélectionnée,選択した変更をチェリーピック,선택한 변경 사항 체리픽,Cherry-pick wybranej zmiany,Cherry-pick da alteração selecionada,Cherry-pick da alteração selecionada,Cherry-pick выбранного изменения,Cherry-pick 所选更改,Cherry-pick 所選變更
manifest,package.nls.json,command.revertSelectedChange,,,Revert Selected Change,VS Code command palette/menu command label.,,,Ausgewählte Änderung rückgängig machen,Revertir los cambios seleccionados,Annuler la modification sélectionnée,選択した変更を元に戻す,선택한 변경 사항 되돌리기,Przywróć wybraną zmianę,Reverter alteração selecionada,Reverter alteração selecionada,Отменить выбранное изменение,还原所选更改,還原所選變更
manifest,package.nls.json,command.openMergeConflict,,,Open in IntelliGit Merge Editor,VS Code command palette/menu command label.,,Merge,Merge-Konflikt öffnen,Abrir conflicto de fusión,Ouvrir le conflit de fusion,マージ競合を開く,병합 충돌 열기,Otwarty konflikt scalania,Conflito de mesclagem aberto,Conflito de mesclagem aberto,Открыть конфликт слияния,打开合并冲突,開啟合併衝突
manifest,package.nls.json,command.acceptYours,,,Accept Yours,VS Code command palette/menu command label.,,,Eigene Änderung übernehmen,Aceptar cambios actuales,Accepter les modifications actuelles,現在の変更を採用,현재 변경 사항 적용,Zaakceptuj bieżące zmiany,Aceitar alterações atuais,Aceitar alterações atuais,Принять текущие изменения,接受当前更改,接受目前變更
manifest,package.nls.json,command.acceptTheirs,,,Accept Theirs,VS Code command palette/menu command label.,,,Eingehende Änderung übernehmen,Aceptar cambios entrantes,Accepter les modifications entrantes,受信側の変更を採用,수신 변경 사항 적용,Zaakceptuj przychodzące zmiany,Aceitar alterações recebidas,Aceitar alterações recebidas,Принять входящие изменения,接受传入更改,接受傳入變更
manifest,package.nls.json,command.openConflictSession,,,Open Conflict Session,VS Code command palette/menu command label.,,,Konfliktsitzung öffnen,Abrir sesión de conflicto,Ouvrir la session de conflit,競合解決セッションを開く,충돌 해결 세션 열기,Otwórz sesję rozwiązywania konfliktów,Abrir Sessão de Conflitos,Abrir Sessão de Conflitos,Открыть сессию разрешения конфликтов,打开冲突会话,開啟衝突會話
manifest,package.nls.json,command.toggleUndockedWindow,,,Toggle Undocked Window,VS Code command palette/menu command label.,,,Nicht angedocktes Fenster umschalten,Alternar ventana desacoplada,Basculer la fenêtre détachée,ドッキング解除されたウィンドウの切り替え,도킹 해제된 창 토글,Przełącz niezadokowane okno,Alternar janela desencaixada,Alternar janela desencaixada,Отключить/Закрепить окно,切换未停靠窗口,切換未停靠視窗
manifest,package.nls.json,command.cloneRepository,,,Clone Repository,VS Code command palette/menu command label.,,,Repository klonen,Clonar repositorio,Cloner le dépôt,リポジトリをクローン,저장소 복제,Repozytorium klonów,Clonar Repositório,Clonar Repositório,Клонировать репозиторий,克隆仓库,克隆倉庫
manifest,package.nls.json,command.openFolder,,,Open Folder,VS Code command palette/menu command label.,,,Ordner öffnen,Abrir carpeta,Ouvrir le dossier,フォルダーを開く,폴더 열기,Otwórz folder,Abrir pasta,Abrir pasta,Открыть папку,打开文件夹,打開資料夾
manifest,package.nls.json,command.initializeRepository,,,Initialize Repository,VS Code command palette/menu command label.,,,Repository initialisieren,Inicializar repositorio,Initialiser le dépôt,リポジトリを初期化する,리포지토리 초기화,Zainicjuj repozytorium,Inicializar Repositório,Inicializar Repositório,Инициализировать репозиторий,初始化存储库,初始化儲存庫
manifest,package.nls.json,command.publishBranch,,,Publish Branch,VS Code command palette/menu command label.,,Branch,Branch veröffentlichen,Publicar rama,Publier la branche,ブランチを公開,브랜치 게시,Opublikuj branch,Publicar branch,Publicar branch,Опубликовать ветку,发布分支,發布分支
manifest,package.nls.json,configuration.tooltips.enabled.markdownDescription,,,"Enable or disable tooltips inside the IntelliGit window (Commit Graph, Branch Column, etc.).","VS Code settings UI label, enum label, or markdown description.",,IntelliGit; Commit; Branch,"Tooltips im IntelliGit-Fenster aktivieren oder deaktivieren (Commit-Diagramm, Branch-Spalte usw.).","Habilitar o deshabilitar las sugerencias emergentes dentro de la ventana de IntelliGit (Gráfico de confirmaciones, Columna de ramas, etc.).","Activer ou désactiver les infobulles dans la fenêtre IntelliGit (Graphique des commits, Colonne des branches, etc.).",IntelliGitウィンドウ内のツールチップ（コミットグラフ、ブランチ列など）を有効または無効にします。,"IntelliGit 창(커밋 그래프, 브랜치 열 등) 내의 툴팁을 활성화 또는 비활성화합니다.","Włącz lub wyłącz podpowiedzi w oknie IntelliGit (wykres zatwierdzenia, kolumna gałęzi itd.).","Ative ou desative as dicas de ferramentas dentro da janela do IntelliGit (Gráfico de Commits, Coluna de Branches, etc.).","Ative ou desative as dicas de ferramentas dentro da janela do IntelliGit (Gráfico de Commits, Coluna de Branches, etc.).","Включение или отключение всплывающих подсказок в окне IntelliGit (график коммитов, столбец ветвей и т. д.).",启用或禁用 IntelliGit 窗口中的工具提示（提交图、分支列等）。,啟用或停用 IntelliGit 視窗中的工具提示（提交圖、分支列等）。
manifest,package.nls.json,configuration.undockableWindow.markdownDescription,,,"Open IntelliGit as a unified editor tab when Show Git Log is invoked, enabling native VS Code undocking to a second monitor.","VS Code settings UI label, enum label, or markdown description.",,IntelliGit; VS Code; Git,"IntelliGit wird als einheitlicher Editor-Tab geöffnet, wenn „Git-Protokoll anzeigen“ aufgerufen wird, wodurch das native Abdocken von VS Code auf einen zweiten Monitor ermöglicht wird.","Al activar la opción ""Mostrar registro de Git"", IntelliGit se abrirá como una pestaña de editor unificada, lo que permitirá desacoplar VS Code de forma nativa a un segundo monitor.","Ouvrez IntelliGit comme un onglet d'éditeur unifié lorsque vous utilisez l'option « Afficher le journal Git », ce qui permet de détacher nativement VS Code sur un deuxième écran.",「Gitログを表示」が呼び出されたときにIntelliGitを統合エディタータブとして開き、VS Codeのネイティブなセカンドモニターへのドッキング解除を可能にします。,Git 로그 표시를 실행하면 IntelliGit이 통합 편집기 탭으로 열리므로 VS Code를 두 번째 모니터에 기본적으로 도킹 해제할 수 있습니다.,"Otwórz IntelliGit jako ujednoliconą kartę edytora po wywołaniu opcji Pokaż dziennik Git, umożliwiając natywne oddokowanie VS Code do drugiego monitora.","Abra o IntelliGit como uma aba unificada do editor quando a opção ""Mostrar Log do Git"" for acionada, permitindo o desencaixe nativo do VS Code para um segundo monitor.","Abra o IntelliGit como uma aba unificada do editor quando a opção ""Mostrar Log do Git"" for acionada, permitindo o desencaixe nativo do VS Code para um segundo monitor.","При вызове функции «Показать журнал Git» IntelliGit открывается как единая вкладка редактора, что позволяет открепить VS Code на втором мониторе.",当调用“显示 Git 日志”时，将 IntelliGit 作为统一编辑器选项卡打开，从而实现 VS Code 原生脱离停靠到第二个显示器。,當呼叫「顯示 Git 日誌」時，將 IntelliGit 作為統一編輯器標籤打開，從而實現 VS Code 原生脫離停靠在第二個顯示器。
manifest,package.nls.json,configuration.undockableWindowButtonVisability.markdownDescription,,,Show the Undock button in the IntelliGit graph view title. Disable to hide the button while keeping the undock command available.,"VS Code settings UI label, enum label, or markdown description.",,IntelliGit; VS Code,"Zeigt die Schaltfläche „Abdocken“ in der Titelleiste der IntelliGit-Graphansicht an. Deaktivieren Sie dies, um die Schaltfläche auszublenden, während der Abdocken-Befehl verfügbar bleibt.",Muestra el botón Desacoplar en la barra de título de la vista de gráfico de IntelliGit. Desactívalo para ocultar el botón y mantener disponible el comando de desacoplar.,Affiche le bouton Détacher dans la barre de titre de la vue graphique IntelliGit. Désactivez cette option pour masquer le bouton tout en conservant la commande de détachement disponible.,IntelliGit のグラフ ビューのタイトルに [ドッキング解除] ボタンを表示します。ボタンを非表示にしても、ドッキング解除コマンドは引き続き使用できます。,IntelliGit 그래프 보기 제목에 도킹 해제 버튼을 표시합니다. 이 옵션을 끄면 버튼은 숨기지만 도킹 해제 명령은 계속 사용할 수 있습니다.,"Pokazuje przycisk Odłącz na pasku tytułu widoku grafu IntelliGit. Wyłącz, aby ukryć przycisk, zachowując dostępność polecenia odłączania.",Mostra o botão Desencaixar na barra de título da visualização de gráfico do IntelliGit. Desative para ocultar o botão mantendo o comando de desencaixar disponível.,Mostra o botão Desencaixar na barra de título da vista de gráfico do IntelliGit. Desative para ocultar o botão mantendo o comando de desencaixar disponível.,"Показывает кнопку «Открепить» в заголовке представления графа IntelliGit. Отключите, чтобы скрыть кнопку, сохранив доступной команду открепления.",在 IntelliGit 图形视图标题中显示“取消停靠”按钮。禁用后会隐藏该按钮，但仍保留取消停靠命令。,在 IntelliGit 圖形檢視標題中顯示「取消停靠」按鈕。停用後會隱藏該按鈕，但仍保留取消停靠命令。
manifest,package.nls.json,configuration.icons.enum.color,,,Use IntelliGit's colored icons (default).,"VS Code settings UI label, enum label, or markdown description.",,IntelliGit,Verwenden Sie die farbigen Symbole von IntelliGit (Standardeinstellung).,Utilice los iconos de colores de IntelliGit (opción predeterminada).,Utilisez les icônes colorées d'IntelliGit (par défaut).,IntelliGitのカラーアイコンを使用する（デフォルト）。,IntelliGit의 색상 아이콘(기본값)을 사용합니다.,Użyj kolorowych ikon IntelliGit (domyślnie).,Use os ícones coloridos do IntelliGit (padrão).,Use os ícones coloridos do IntelliGit (padrão).,Используйте цветные значки IntelliGit (по умолчанию).,使用 IntelliGit 的彩色图标（默认）。,使用 IntelliGit 的彩色圖示（預設）。
manifest,package.nls.json,configuration.icons.enum.standard,,,"Use VS Code's monochromatic icon style, consistent with built-in panels.","VS Code settings UI label, enum label, or markdown description.",,VS Code,"Verwenden Sie den monochromen Symbolstil von VS Code, der mit den integrierten Bedienfeldern übereinstimmt.","Utilice el estilo de iconos monocromáticos de VS Code, que es coherente con los paneles integrados.","Utilisez le style d'icônes monochromes de VS Code, cohérent avec les panneaux intégrés.",VS Codeのモノクロアイコンスタイルを使用し、組み込みパネルとの一貫性を保ちます。,VS Code의 내장 패널과 일관성 있는 단색 아이콘 스타일을 사용하세요.,"Użyj monochromatycznego stylu ikon VS Code, spójnego z wbudowanymi panelami.","Use o estilo de ícones monocromáticos do VS Code, consistente com os painéis integrados.","Use o estilo de ícones monocromáticos do VS Code, consistente com os painéis integrados.","Используйте монохромный стиль иконок VS Code, соответствующий встроенным панелям.",使用 VS Code 的单色图标样式，与内置面板保持一致。,使用 VS Code 的單色圖示樣式，與內建面板保持一致。
manifest,package.nls.json,configuration.icons.markdownDescription,,,Icon style for the IntelliGit commit panel. `standard` uses VS Code's monochromatic icon foreground (default); `color` uses IntelliGit's colored icons.,"VS Code settings UI label, enum label, or markdown description.",,IntelliGit; VS Code; commit,Symbolstil für das IntelliGit-Commit-Panel. `standard` verwendet den einfarbigen Vordergrund von VS Code (Standard); `color` verwendet die farbigen Symbole von IntelliGit.,Estilo de iconos para el panel de confirmación de IntelliGit. `standard` utiliza el primer plano de iconos monocromáticos de VS Code (predeterminado); `color` utiliza los iconos de colores de IntelliGit.,Style d'icônes pour le panneau de commits d'IntelliGit. `standard` utilise le premier plan monochrome des icônes de VS Code (par défaut) ; `color` utilise les icônes colorées d'IntelliGit.,IntelliGitコミットパネルのアイコンスタイル。`standard`はVS Codeのモノクロアイコン（デフォルト）を使用し、`color`はIntelliGitのカラーアイコンを使用します。,"IntelliGit 커밋 패널의 아이콘 스타일입니다. `standard`는 VS Code의 단색 아이콘 전경(기본값)을 사용하고, `color`는 IntelliGit의 컬러 아이콘을 사용합니다.",Styl ikony panelu zatwierdzeń IntelliGit. `standard` używa monochromatycznych ikon VS Code na pierwszym planie (domyślnie); `color` używa kolorowych ikon IntelliGit.,Estilo de ícone para o painel de commits do IntelliGit. `standard` usa o ícone monocromático do VS Code (padrão); `color` usa os ícones coloridos do IntelliGit.,Estilo de ícone para o painel de commits do IntelliGit. `standard` usa o ícone monocromático do VS Code (padrão); `color` usa os ícones coloridos do IntelliGit.,Стиль значков для панели коммитов IntelliGit. `standard` использует монохромный фон значков VS Code (по умолчанию); `color` использует цветные значки IntelliGit.,IntelliGit提交面板的图标样式。`standard` 使用 VS Code 的单色图标前景（默认）；`color` 使用 IntelliGit 的彩色图标。,IntelliGit提交面板的圖示樣式。 `standard` 使用 VS Code 的單色圖示前景（預設）；`color` 使用 IntelliGit 的彩色圖示。
manifest,package.nls.json,configuration.commitWindowPosition.enum.auto,,,Follow VS Code's `workbench.sideBar.location` setting (default).,"VS Code settings UI label, enum label, or markdown description.",,VS Code,Folgen Sie der VS Code-Einstellung `workbench.sideBar.location` (Standardeinstellung).,Siga la configuración `workbench.sideBar.location` de VS Code (predeterminada).,Suivez le paramètre `workbench.sideBar.location` de VS Code (par défaut).,VS Code の `workbench.sideBar.location` 設定（デフォルト）に従います。,VS Code의 `workbench.sideBar.location` 설정(기본값)을 따르세요.,Postępuj zgodnie z ustawieniem `workbench.sideBar.location` programu VS Code (domyślne).,Siga a configuração `workbench.sideBar.location` do VS Code (padrão).,Siga a configuração `workbench.sideBar.location` do VS Code (padrão).,Используйте параметр `workbench.sideBar.location` из VS Code (по умолчанию).,遵循 VS Code 的 `workbench.sideBar.location` 设置（默认值）。,遵循 VS Code 的 `workbench.sideBar.location` 設定（預設值）。
manifest,package.nls.json,configuration.commitWindowPosition.enum.left,,,Place the commit panel on the left side of the undocked/tabbed window.,"VS Code settings UI label, enum label, or markdown description.",,commit,Platzieren Sie das Commit-Panel auf der linken Seite des nicht angedockten/mit Registerkarten versehenen Fensters.,Coloca el panel de confirmación en el lado izquierdo de la ventana desacoplada/con pestañas.,Placez le panneau de validation sur le côté gauche de la fenêtre détachée/à onglets.,コミットパネルを、ドッキング解除済み／タブ付きウィンドウの左側に配置します。,커밋 패널을 도킹 해제/탭된 창의 왼쪽에 배치합니다.,Umieść panel zatwierdzania po lewej stronie oddokowanego/zaznaczonego karty okna.,Coloque o painel de confirmação no lado esquerdo da janela desencaixada/com abas.,Coloque o painel de confirmação no lado esquerdo da janela desencaixada/com abas.,Разместите панель подтверждения изменений в левой части открепленного/открытого окна.,将提交面板放置在未停靠/已添加标签页的窗口的左侧。,將提交面板放置在未停靠/已新增標籤頁的視窗的左側。
manifest,package.nls.json,configuration.commitWindowPosition.enum.right,,,Place the commit panel on the right side of the undocked/tabbed window.,"VS Code settings UI label, enum label, or markdown description.",,commit,Platzieren Sie das Commit-Panel auf der rechten Seite des nicht angedockten/mit Tabs versehenen Fensters.,Coloca el panel de confirmación en el lado derecho de la ventana desacoplada/con pestañas.,Placez le panneau de validation sur le côté droit de la fenêtre détachée/à onglets.,コミットパネルを、ドッキング解除済み／タブ付きウィンドウの右側に配置します。,커밋 패널을 도킹 해제/탭된 창의 오른쪽에 배치합니다.,Umieść panel zatwierdzania po prawej stronie oddokowanego/zaznaczonego karty okna.,Coloque o painel de confirmação no lado direito da janela desencaixada/com abas.,Coloque o painel de confirmação no lado direito da janela desencaixada/com abas.,Разместите панель подтверждения изменений в правой части открепленного/открытого окна.,将提交面板放置在未停靠/已添加标签页的窗口的右侧。,將提交面板放置在未停靠/已新增標籤頁的視窗的右側。
manifest,package.nls.json,configuration.commitWindowPosition.markdownDescription,,,Position of the commit panel within the undocked/tabbed IntelliGit window. `auto` (default) follows VS Code's `workbench.sideBar.location`; `left` and `right` force a side.,"VS Code settings UI label, enum label, or markdown description.",,IntelliGit; VS Code; commit,Position des Commit-Panels im abgedockten/angezeigten IntelliGit-Fenster. `auto` (Standard) folgt der Einstellung `workbench.sideBar.location` von VS Code; `left` und `right` legen eine Seite fest.,Posición del panel de confirmación dentro de la ventana de IntelliGit desacoplada/con pestañas. `auto` (predeterminado) sigue la `workbench.sideBar.location` de VS Code; `left` y `right` fuerzan un lado.,Position du panneau de commit dans la fenêtre IntelliGit non ancrée/à onglets. `auto` (par défaut) suit la propriété `workbench.sideBar.location` de VS Code ; `left` et `right` forcent un positionnement latéral.,ドッキング解除/タブ付き IntelliGit ウィンドウ内でのコミット パネルの位置。`auto` (デフォルト) は VS Code の `workbench.sideBar.location` に従います。`left` と `right` は左右どちらかに強制的に配置します。,"IntelliGit 창(도킹 해제 또는 탭으로 열림) 내 커밋 패널의 위치입니다. `auto`(기본값)는 VS Code의 `workbench.sideBar.location`을 따르며, `left` 및 `right`는 특정 측면에 배치하도록 설정합니다.",Pozycja panelu zatwierdzania w niezadokowanym/zaznaczonym na karcie oknie IntelliGit. `auto` (domyślne) następuje po `workbench.sideBar.location` programu VS Code; `left` i `right` wymuszają stronę.,Posição do painel de commits dentro da janela do IntelliGit desencaixada/em abas. `auto` (padrão) segue a posição de `workbench.sideBar.location` do VS Code; `left` e `right` forçam uma posição lateral.,Posição do painel de commits dentro da janela do IntelliGit desencaixada/em abas. `auto` (padrão) segue a posição de `workbench.sideBar.location` do VS Code; `left` e `right` forçam uma posição lateral.,Положение панели фиксации в открепленном/вложенном окне IntelliGit. Параметр `auto` (по умолчанию) соответствует параметру `workbench.sideBar.location` в VS Code; `left` и `right` принудительно определяют сторону.,在未停靠/标签页化的 IntelliGit 窗口中，提交面板的位置。`auto`（默认值）遵循 VS Code 的 `workbench.sideBar.location`；`left` 和 `right` 强制设置在左侧。,在未停靠/標籤頁化的 IntelliGit 視窗中，提交面板的位置。 `auto`（預設值）遵循 VS Code 的 `workbench.sideBar.location`；`left` 和 `right` 強制設定在左側。
host,l10n/bundle.l10n.json,$(add) Use a Different Remote Name,,,$(add) Use a Different Remote Name,VS Code quick pick item with codicon prefix. Keep the $(icon-name) token intact.,,Remote,$(add) Einen anderen Remote-Namen verwenden,$(add) Usar un nombre remoto diferente,$(add) Utiliser un nom distant différent,$(add) 別のリモート名を使用する,$(add) (추가) 다른 원격 이름 사용,$(add) Użyj innej nazwy zdalnej,$(add) Usar um nome remoto diferente,$(add) Usar um nome remoto diferente,$(add) Использовать другое удаленное имя,$(add) 使用不同的远程名称,$(add) 使用不同的遠端名稱
host,l10n/bundle.l10n.json,$(edit) Enter path manually,,,$(edit) Enter path manually,VS Code quick pick item with codicon prefix. Keep the $(icon-name) token intact.,,,$(edit) Pfad manuell eingeben,$(edit) Introduzca la ruta manualmente,$(edit) ​​Saisissez le chemin manuellement,$(edit) パスを手動で入力,$(edit) (편집) 경로를 수동으로 입력하세요,$(edit) Wprowadź ścieżkę ręcznie,$(edit) (editar) Insira o caminho manualmente,$(edit) (editar) Insira o caminho manualmente,$(edit) Введите путь вручную,$(edit) 手动输入路径,$(edit) 手動輸入路徑
